"chain";"providedId";"gln";"orgNumber";"name";"address";"postcode";"city";"phone";"email";"latitude";"longitude";"hasPost";"openSunday"
"Bunnpris";"273";;;"Spildepollen";"Spildepollen";"5382";"Skogsvåg";"56319070";"bpspildepollen@bunnpris.no";"60.2401036";"5.0475717";true;false
"Bunnpris";"274";;;"Langmoheia";"Nordlandsveien 94";"8624";"MO I RANA";"75013006";"bplangmoheia@bunnpris.no";"66.3119626";"14.1470466";false;false
"Bunnpris";"311";;;"Olden";"";"6788";"Olden";"57873248";"bpolden@bunnpris.no";"61.8337903";"6.8093291";false;true
"Bunnpris";"312";;;"Sandane";"Gotevegen 2";"6823";"Sandane";"5786505790197265";"bpsandane@bunnpris.no";"61.7731458";"6.2138478";false;false
"Bunnpris";"341";;;"Lavik";"";"6946";"LAVIK";"57711709";"bplavik@bunnpris.no";"61.1049847";"5.5097976";true;false
"Bunnpris";"343";;;"Skansen";"Skaregt 1";"6002";"Ålesund";"70131580";"BPSkansen@bunnpris.no";"62.474738";"6.1570425";false;true
"Bunnpris";"344";;;"Olderskog";"Skogsveien 3";"8661";"Mosjøen";"75013007";"bpolderskog@bunnpris.no";"65.8236843";"13.2218335";false;false
"Bunnpris";"359";;;"Hundhamaren";"Sjølyst";"7562";"Hundhamaren";"73975331";"bphundhamaren@bunnpris.no";"63.4375886";"10.5872943";true;true
"Bunnpris";"360";;;"Grønnåsen";"Soløyvannsveien 4";"8073";"";"75558040";"bpgronnasen@bunnpris.no";"67.27766";"14.4693665";false;true
"Bunnpris";"362";;;"Thorvald Meyersgt";"Thorvald Meyers gate 73-75";"0552";"Oslo";"22198903";"bpthorvaldmeyersgt@bunnpris.no";"59.9210695";"10.7592891";false;true
"Bunnpris";"365";;;"Damsgård";"Damsgårdsveien 82";"5058";"Bergen";"55342471";"bpdamsgard@bunnpris.no";"60.3809577";"5.3205274";false;false
"Bunnpris";"372";;;"Vedde";"Veddevegen 163";"6030";"Langevåg";"70193010";"bpvedde@bunnpris.no";"62.4378931";"6.2347899";false;false
"Bunnpris";"374";;;"Seimsfoss";"Seimsvegen 126";"5472";"Seimsfoss";"53471618";"bpseimsfoss@bunnpris.no";"59.964523";"5.9961235";false;false
"Bunnpris";"375";;;"& Gourmet Sartor";"Sartorvegen 12";"5343";"Straume";"56332650";"bpsartor@bunnpris.no";"60.35860904";"5.12501478";true;false
"Bunnpris";"376";;;"& Gourmet Tjensvoll";"Tjensvolltorget 25";"4021";"Stavanger";"51557099";"bptjensvoll@bunnpris.no";"58.9495292";"5.6971095";true;false
"Bunnpris";"377";;;"Bragetunet";"Chr. Bjellandsgt. 6";"4026";"Stavanger";"51524420";"bpbragetunet@bunnpris.no";"58.9755017";"5.7113324";false;false
"Bunnpris";"378";;;"Skadberg";"Varabergvegen 1";"4051";"Sola";"51690770";"bpskadberg@bunnpris.no";"58.8775374";"5.6701022";false;false
"Bunnpris";"379";;;"Randaberg";"Vistnesveien 5";"4070";"Randaberg";"51419600";"bprandaberg@bunnpris.no";"58.9985141";"5.6168027";true;false
"Bunnpris";"380";;;"Steinsviken";"Steinsvikvegen 256";"5237";"Rådal";"55119454";"bpsteinsviken@bunnpris.no";"60.301215";"5.3042193";false;false
"Bunnpris";"381";;;"Øra";"Haakon den VII alle 5 A";"7650";"Verdal";"74076669";"bpora@bunnpris.no";"63.7937745";"11.4801841";false;false
